Year,County,Hospital,Surgery,Cases
2013,Butte,Enloe Medical Center - Esplanade,PROSTATE,10
2013,Calaveras,Mark Twain Medical Center,COLON,2
2013,Calaveras,Mark Twain Medical Center,BREAST,9
2013,Colusa,Colusa Regional Medical Center,COLON,1
2013,Contra Costa,Doctors Medical Center - San Pablo,BREAST,17
2013,Contra Costa,Doctors Medical Center - San Pablo,PROSTATE,1
2013,Contra Costa,Doctors Medical Center - San Pablo,BLADDER,1
2013,Contra Costa,Doctors Medical Center - San Pablo,STOMACH,2
2013,Contra Costa,Doctors Medical Center - San Pablo,COLON,11
2013,Contra Costa,Doctors Medical Center - San Pablo,RECTUM,6
2013,Contra Costa,Contra Costa Regional Medical Center,BREAST,77
2013,Contra Costa,Contra Costa Regional Medical Center,RECTUM,3
2013,Contra Costa,Contra Costa Regional Medical Center,STOMACH,1
2013,Contra Costa,Contra Costa Regional Medical Center,COLON,18
2013,Contra Costa,Sutter Delta Medical Center,COLON,9
2013,Contra Costa,Sutter Delta Medical Center,STOMACH,1
2013,Contra Costa,Sutter Delta Medical Center,BLADDER,1
2013,Contra Costa,Sutter Delta Medical Center,BREAST,33
2013,Contra Costa,Sutter Delta Medical Center,PROSTATE,3
2013,Contra Costa,John Muir Medical Center - Walnut Creek Campus,BRAIN,37
2013,Contra Costa,John Muir Medical Center - Walnut Creek Campus,STOMACH,1
2013,Contra Costa,John Muir Medical Center - Walnut Creek Campus,LIVER,5
2013,Contra Costa,John Muir Medical Center - Walnut Creek Campus,PROSTATE,2
2013,Contra Costa,John Muir Medical Center - Walnut Creek Campus,PANCREAS,2
2013,Contra Costa,John Muir Medical Center - Walnut Creek Campus,COLON,32
2013,Contra Costa,John Muir Medical Center - Walnut Creek Campus,BREAST,107
2013,Contra Costa,John Muir Medical Center - Walnut Creek Campus,BLADDER,2
2013,Contra Costa,John Muir Medical Center - Walnut Creek Campus,LUNG,36
2013,Contra Costa,Kaiser Foundation Hospital - Walnut Creek,ESOPHAGUS,5
2013,Contra Costa,Kaiser Foundation Hospital - Walnut Creek,COLON,78
2013,Contra Costa,Kaiser Foundation Hospital - Walnut Creek,STOMACH,3
2013,Contra Costa,Kaiser Foundation Hospital - Walnut Creek,PROSTATE,11
2013,Contra Costa,Kaiser Foundation Hospital - Walnut Creek,RECTUM,26
2013,Contra Costa,Kaiser Foundation Hospital - Walnut Creek,BREAST,375
2013,Contra Costa,Kaiser Foundation Hospital - Walnut Creek,PANCREAS,1
2013,Contra Costa,Kaiser Foundation Hospital - Walnut Creek,LUNG,46
2013,Contra Costa,Kaiser Foundation Hospital - Walnut Creek,BLADDER,4
2013,Contra Costa,Kaiser Foundation Hospital - Walnut Creek,LIVER,1
2013,Contra Costa,John Muir Medical Center - Concord Campus,COLON,30
2013,Contra Costa,John Muir Medical Center - Concord Campus,LUNG,28
2013,Contra Costa,John Muir Medical Center - Concord Campus,PROSTATE,54
2013,Contra Costa,John Muir Medical Center - Concord Campus,STOMACH,3
2013,Contra Costa,John Muir Medical Center - Concord Campus,BREAST,68
2013,Contra Costa,John Muir Medical Center - Concord Campus,RECTUM,21
2013,Contra Costa,John Muir Medical Center - Concord Campus,ESOPHAGUS,6
2013,Contra Costa,San Ramon Regional Medical Center,PROSTATE,16
2013,Contra Costa,San Ramon Regional Medical Center,LUNG,3
2013,Contra Costa,San Ramon Regional Medical Center,BREAST,104
2013,Contra Costa,San Ramon Regional Medical Center,COLON,19
2013,Contra Costa,San Ramon Regional Medical Center,RECTUM,4
2013,Contra Costa,San Ramon Regional Medical Center,LIVER,1
2013,Contra Costa,Kaiser Foundation Hospital - Antioch,BREAST,104
2013,Contra Costa,Kaiser Foundation Hospital - Antioch,PANCREAS,10
2013,Contra Costa,Kaiser Foundation Hospital - Antioch,COLON,42
2013,Contra Costa,Kaiser Foundation Hospital - Antioch,LIVER,31
2013,Contra Costa,Kaiser Foundation Hospital - Antioch,STOMACH,12
2013,Contra Costa,Kaiser Foundation Hospital - Antioch,BLADDER,2
2013,Contra Costa,Kaiser Foundation Hospital - Antioch,RECTUM,6
2013,Contra Costa,Kaiser Foundation Hospital - Antioch,PROSTATE,1
2013,Del Norte,Sutter Coast Hospital,COLON,4
2013,Del Norte,Sutter Coast Hospital,BREAST,18
2013,El Dorado,Barton Memorial Hospital,COLON,4
2013,El Dorado,Barton Memorial Hospital,BREAST,11
2013,El Dorado,Marshall Medical Center,LUNG,3
2013,El Dorado,Marshall Medical Center,RECTUM,5
2013,El Dorado,Marshall Medical Center,PROSTATE,1
2013,El Dorado,Marshall Medical Center,STOMACH,1
2013,El Dorado,Marshall Medical Center,COLON,19
2013,El Dorado,Marshall Medical Center,BREAST,45
2013,Fresno,Clovis Community Medical Center,LUNG,14
2013,Fresno,Clovis Community Medical Center,STOMACH,8
2013,Fresno,Clovis Community Medical Center,PANCREAS,4
2013,Fresno,Clovis Community Medical Center,RECTUM,10
2013,Fresno,Clovis Community Medical Center,LIVER,2
2013,Fresno,Clovis Community Medical Center,BLADDER,3
2013,Fresno,Clovis Community Medical Center,ESOPHAGUS,3
2013,Fresno,Clovis Community Medical Center,COLON,38
2013,Fresno,Clovis Community Medical Center,PROSTATE,35
2013,Fresno,Clovis Community Medical Center,BREAST,362
2013,Fresno,Community Regional Medical Center - Fresno,LUNG,11
2013,Fresno,Community Regional Medical Center - Fresno,STOMACH,9
2013,Fresno,Community Regional Medical Center - Fresno,COLON,28
2013,Fresno,Community Regional Medical Center - Fresno,PROSTATE,50
2013,Fresno,Community Regional Medical Center - Fresno,BRAIN,37
2013,Fresno,Community Regional Medical Center - Fresno,BLADDER,1
2013,Fresno,Community Regional Medical Center - Fresno,LIVER,22
2013,Fresno,Community Regional Medical Center - Fresno,BREAST,47
2013,Fresno,Community Regional Medical Center - Fresno,PANCREAS,17
2013,Fresno,Community Regional Medical Center - Fresno,RECTUM,14
2013,Fresno,Saint Agnes Medical Center,RECTUM,10
2013,Fresno,Saint Agnes Medical Center,BREAST,146
2013,Fresno,Saint Agnes Medical Center,LUNG,28
2013,Fresno,Saint Agnes Medical Center,PROSTATE,38
2013,Fresno,Saint Agnes Medical Center,STOMACH,1
2013,Fresno,Saint Agnes Medical Center,COLON,24
2013,Fresno,Saint Agnes Medical Center,BRAIN,4
2013,Fresno,Fresno Surgical Hospital,BREAST,38
2013,Fresno,Fresno Surgical Hospital,PROSTATE,8
2013,Fresno,Kaiser Foundation Hospital - Fresno,BRAIN,6
2013,Fresno,Kaiser Foundation Hospital - Fresno,STOMACH,1
2013,Fresno,Kaiser Foundation Hospital - Fresno,RECTUM,2
2013,Fresno,Kaiser Foundation Hospital - Fresno,LUNG,6
2013,Fresno,Kaiser Foundation Hospital - Fresno,BREAST,129
2013,Fresno,Kaiser Foundation Hospital - Fresno,BLADDER,1
2013,Fresno,Kaiser Foundation Hospital - Fresno,COLON,33
2013,Fresno,Fresno Heart and Surgical Hospital,COLON,24
2013,Fresno,Fresno Heart and Surgical Hospital,STOMACH,3
2013,Fresno,Fresno Heart and Surgical Hospital,RECTUM,16
2013,Fresno,Fresno Heart and Surgical Hospital,LUNG,18
2013,Fresno,Fresno Heart and Surgical Hospital,PANCREAS,2
2013,Fresno,Fresno Heart and Surgical Hospital,LIVER,3
2013,Humboldt,Mad River Community Hospital,BREAST,3
2013,Humboldt,Mad River Community Hospital,COLON,9
2013,Humboldt,Mad River Community Hospital,ESOPHAGUS,1
2013,Humboldt,Redwood Memorial Hospital,LUNG,1
2013,Humboldt,Redwood Memorial Hospital,BREAST,21
2013,Humboldt,Redwood Memorial Hospital,COLON,4
2013,Humboldt,Saint Joseph Hospital - Eureka,BRAIN,2
2013,Humboldt,Saint Joseph Hospital - Eureka,STOMACH,2
2013,Humboldt,Saint Joseph Hospital - Eureka,PROSTATE,4
2013,Humboldt,Saint Joseph Hospital - Eureka,RECTUM,4
2013,Humboldt,Saint Joseph Hospital - Eureka,PANCREAS,3
2013,Humboldt,Saint Joseph Hospital - Eureka,BREAST,63
2013,Humboldt,Saint Joseph Hospital - Eureka,LUNG,12
2013,Humboldt,Saint Joseph Hospital - Eureka,COLON,19
2013,Humboldt,Saint Joseph Hospital - Eureka,BLADDER,4
2013,Imperial,El Centro Regional Medical Center,PROSTATE,18
2013,Imperial,El Centro Regional Medical Center,COLON,14
2013,Imperial,El Centro Regional Medical Center,BRAIN,1
2013,Imperial,El Centro Regional Medical Center,BREAST,18
2013,Imperial,El Centro Regional Medical Center,LUNG,4
2013,Imperial,El Centro Regional Medical Center,BLADDER,1
2013,Imperial,Pioneers Memorial Healthcare District,BRAIN,1
2013,Imperial,Pioneers Memorial Healthcare District,COLON,4
2013,Imperial,Pioneers Memorial Healthcare District,BREAST,12
2013,Imperial,Pioneers Memorial Healthcare District,PROSTATE,1
2013,Inyo,Northern Inyo Hospital,COLON,4
2013,Inyo,Northern Inyo Hospital,BREAST,6
2013,Kern,Delano Regional Medical Center,BREAST,7
2013,Kern,Delano Regional Medical Center,STOMACH,1
2013,Kern,Delano Regional Medical Center,RECTUM,3
2013,Kern,Delano Regional Medical Center,COLON,4
2013,Kern,Bakersfield Memorial Hospital,BLADDER,1
2013,Kern,Bakersfield Memorial Hospital,LUNG,26
2013,Kern,Bakersfield Memorial Hospital,BRAIN,15
2013,Kern,Bakersfield Memorial Hospital,RECTUM,8
2013,Kern,Bakersfield Memorial Hospital,STOMACH,5
2013,Kern,Bakersfield Memorial Hospital,PROSTATE,5
2013,Kern,Bakersfield Memorial Hospital,COLON,34
2013,Kern,Bakersfield Memorial Hospital,BREAST,61
2013,Kern,Kern Medical Center,BRAIN,3
2013,Kern,Kern Medical Center,LIVER,2
2013,Kern,Kern Medical Center,LUNG,1
2013,Kern,Kern Medical Center,STOMACH,4
2013,Kern,Kern Medical Center,RECTUM,3
2013,Kern,Kern Medical Center,BREAST,31
2013,Kern,Kern Medical Center,COLON,6
2013,Kern,Mercy Hospital - Bakersfield,RECTUM,5
2013,Kern,Mercy Hospital - Bakersfield,PROSTATE,17
2013,Kern,Mercy Hospital - Bakersfield,STOMACH,2
2013,Kern,Mercy Hospital - Bakersfield,LUNG,4
2013,Kern,Mercy Hospital - Bakersfield,COLON,18
2013,Kern,Mercy Hospital - Bakersfield,BREAST,100
2013,Kern,Mercy Hospital - Bakersfield,BRAIN,2
2013,Kern,Mercy Hospital - Bakersfield,BLADDER,1
2013,Kern,Good Samaritan Hospital - Bakersfield,PROSTATE,1
2013,Kern,Ridgecrest Regional Hospital,BREAST,6
2013,Kern,Ridgecrest Regional Hospital,COLON,4
2013,Kern,Ridgecrest Regional Hospital,RECTUM,1
2013,Kern,San Joaquin Community Hospital,RECTUM,6
2013,Kern,San Joaquin Community Hospital,STOMACH,2
2013,Kern,San Joaquin Community Hospital,COLON,48
2013,Kern,San Joaquin Community Hospital,PROSTATE,13
2013,Kern,San Joaquin Community Hospital,LUNG,6
2013,Kern,San Joaquin Community Hospital,PANCREAS,2
2013,Kern,San Joaquin Community Hospital,BLADDER,1
2013,Kern,San Joaquin Community Hospital,BREAST,93
2013,Kern,San Joaquin Community Hospital,BRAIN,13
2013,Kern,Bakersfield Heart Hospital,COLON,4
2013,Kern,Bakersfield Heart Hospital,BREAST,2
2013,Kern,Bakersfield Heart Hospital,STOMACH,1
2013,Kings,Adventist Medical Center,LUNG,2
2013,Kings,Adventist Medical Center,RECTUM,6
2013,Kings,Adventist Medical Center,LIVER,2
2013,Kings,Adventist Medical Center,PROSTATE,7
2013,Kings,Adventist Medical Center,COLON,22
2013,Kings,Adventist Medical Center,STOMACH,1
2013,Kings,Adventist Medical Center,BREAST,53
2013,Kings,Adventist Medical Center,BLADDER,1
2013,Lake,Saint Helena Hospital - Clearlake,COLON,6
2013,Lake,Saint Helena Hospital - Clearlake,BREAST,6
2013,Lake,Sutter Lakeside Hospital,COLON,9
2013,Lake,Sutter Lakeside Hospital,BREAST,8
2013,Los Angeles,Alhambra Hospital Medical Center,RECTUM,6
2013,Los Angeles,Alhambra Hospital Medical Center,BREAST,25
2013,Los Angeles,Alhambra Hospital Medical Center,COLON,39
2013,Los Angeles,Alhambra Hospital Medical Center,LIVER,2
2013,Los Angeles,Alhambra Hospital Medical Center,LUNG,1
2013,Los Angeles,Alhambra Hospital Medical Center,ESOPHAGUS,1
2013,Los Angeles,Alhambra Hospital Medical Center,STOMACH,10
2013,Los Angeles,Antelope Valley Hospital,RECTUM,12
2013,Los Angeles,Antelope Valley Hospital,COLON,62
2013,Los Angeles,Antelope Valley Hospital,PROSTATE,38
2013,Los Angeles,Antelope Valley Hospital,PANCREAS,1
2013,Los Angeles,Antelope Valley Hospital,BREAST,122
2013,Los Angeles,Antelope Valley Hospital,STOMACH,3
2013,Los Angeles,Antelope Valley Hospital,LUNG,10
2013,Los Angeles,Antelope Valley Hospital,BRAIN,8
2013,Los Angeles,Antelope Valley Hospital,BLADDER,1
2013,Los Angeles,Saint Mary Medical Center - Long Beach,COLON,7
2013,Los Angeles,Saint Mary Medical Center - Long Beach,BRAIN,3
2013,Los Angeles,Saint Mary Medical Center - Long Beach,ESOPHAGUS,1
2013,Los Angeles,Saint Mary Medical Center - Long Beach,LUNG,5
2013,Los Angeles,Saint Mary Medical Center - Long Beach,BREAST,12
2013,Los Angeles,Bellflower Medical Center,BREAST,4
2013,Los Angeles,Bellflower Medical Center,COLON,2
2013,Los Angeles,Beverly Hospital,PROSTATE,2
2013,Los Angeles,Beverly Hospital,STOMACH,1
2013,Los Angeles,Beverly Hospital,BRAIN,2
2013,Los Angeles,Beverly Hospital,LUNG,1
2013,Los Angeles,Beverly Hospital,COLON,16
2013,Los Angeles,Beverly Hospital,RECTUM,2
2013,Los Angeles,Beverly Hospital,BREAST,25
2013,Los Angeles,Southern California Hospital At Culver City,BREAST,7
2013,Los Angeles,Southern California Hospital At Culver City,BRAIN,1
2013,Los Angeles,Southern California Hospital At Culver City,LUNG,6
2013,Los Angeles,Southern California Hospital At Culver City,STOMACH,2
2013,Los Angeles,Southern California Hospital At Culver City,COLON,9
2013,Los Angeles,California Hospital Medical Center - Los Angeles,RECTUM,8
2013,Los Angeles,California Hospital Medical Center - Los Angeles,BRAIN,4
2013,Los Angeles,California Hospital Medical Center - Los Angeles,STOMACH,4
2013,Los Angeles,California Hospital Medical Center - Los Angeles,PROSTATE,3
2013,Los Angeles,California Hospital Medical Center - Los Angeles,PANCREAS,2
2013,Los Angeles,California Hospital Medical Center - Los Angeles,COLON,10
2013,Los Angeles,California Hospital Medical Center - Los Angeles,BREAST,71
2013,Los Angeles,California Hospital Medical Center - Los Angeles,LUNG,1
2013,Los Angeles,Centinela Hospital Medical Center,STOMACH,3
2013,Los Angeles,Centinela Hospital Medical Center,BREAST,14
2013,Los Angeles,Centinela Hospital Medical Center,RECTUM,1
2013,Los Angeles,Centinela Hospital Medical Center,LUNG,7
2013,Los Angeles,Centinela Hospital Medical Center,BRAIN,6
2013,Los Angeles,Centinela Hospital Medical Center,COLON,16
2013,Los Angeles,Gardens Regional Hospital and Medical Center,PROSTATE,2
2013,Los Angeles,Gardens Regional Hospital and Medical Center,COLON,4
2013,Los Angeles,Gardens Regional Hospital and Medical Center,BREAST,4
2013,Los Angeles,Gardens Regional Hospital and Medical Center,PANCREAS,1
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,PANCREAS,9
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,RECTUM,26
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,PROSTATE,398
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,BLADDER,40
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,COLON,56
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,LUNG,40
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,BRAIN,45
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,STOMACH,29
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,LIVER,56
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,ESOPHAGUS,9
2013,Los Angeles,City of Hope Helford Clinical Research Hospital,BREAST,437
2013,Los Angeles,Community and Mission Hospital of Huntington Park - Slauson,BREAST,3
2013,Los Angeles,Community and Mission Hospital of Huntington Park - Slauson,COLON,3
2013,Los Angeles,Community and Mission Hospital of Huntington Park - Slauson,STOMACH,2
2013,Los Angeles,Los Angeles Community Hospital,COLON,2
2013,Los Angeles,Los Angeles Community Hospital,BREAST,1
2013,Los Angeles,San Gabriel Valley Medical Center,BREAST,62
2013,Los Angeles,San Gabriel Valley Medical Center,LUNG,1
2013,Los Angeles,San Gabriel Valley Medical Center,COLON,20
2013,Los Angeles,San Gabriel Valley Medical Center,BRAIN,8
2013,Los Angeles,San Gabriel Valley Medical Center,STOMACH,6
2013,Los Angeles,San Gabriel Valley Medical Center,RECTUM,9
2013,Los Angeles,Lakewood Regional Medical Center,BREAST,20
2013,Los Angeles,Lakewood Regional Medical Center,STOMACH,6
2013,Los Angeles,Lakewood Regional Medical Center,PROSTATE,2
2013,Los Angeles,Lakewood Regional Medical Center,LUNG,5
2013,Los Angeles,Lakewood Regional Medical Center,ESOPHAGUS,1
2013,Los Angeles,Lakewood Regional Medical Center,COLON,22
2013,Los Angeles,Lakewood Regional Medical Center,BRAIN,5
2013,Los Angeles,PIH Hospital - Downey,LUNG,2
2013,Los Angeles,PIH Hospital - Downey,STOMACH,5
2013,Los Angeles,PIH Hospital - Downey,BREAST,63
2013,Los Angeles,PIH Hospital - Downey,RECTUM,3
2013,Los Angeles,PIH Hospital - Downey,PROSTATE,8
2013,Los Angeles,PIH Hospital - Downey,COLON,30
2013,Los Angeles,PIH Hospital - Downey,BRAIN,6
2013,Los Angeles,East Los Angeles Doctors Hospital,BREAST,1
2013,Los Angeles,East Los Angeles Doctors Hospital,COLON,4
2013,Los Angeles,Encino Hospital Medical Center,COLON,1
2013,Los Angeles,Foothill Presbyterian Hospital - Johnston Memorial,BRAIN,3
2013,Los Angeles,Foothill Presbyterian Hospital - Johnston Memorial,RECTUM,2
2013,Los Angeles,Foothill Presbyterian Hospital - Johnston Memorial,BREAST,54
2013,Los Angeles,Foothill Presbyterian Hospital - Johnston Memorial,COLON,14
2013,Los Angeles,Foothill Presbyterian Hospital - Johnston Memorial,LUNG,2
2013,Los Angeles,Foothill Presbyterian Hospital - Johnston Memorial,STOMACH,1
2013,Los Angeles,Pacific Alliance Medical Center,BREAST,10
2013,Los Angeles,Pacific Alliance Medical Center,COLON,6
2013,Los Angeles,Pacific Alliance Medical Center,PROSTATE,1
2013,Los Angeles,Pacific Alliance Medical Center,BRAIN,2
2013,Los Angeles,Pacific Alliance Medical Center,STOMACH,3
2013,Los Angeles,Pacific Alliance Medical Center,RECTUM,1
2013,Los Angeles,Garfield Medical Center,BRAIN,7
2013,Los Angeles,Garfield Medical Center,RECTUM,5
2013,Los Angeles,Garfield Medical Center,LIVER,1
2013,Los Angeles,Garfield Medical Center,BREAST,48
2013,Los Angeles,Garfield Medical Center,STOMACH,6
2013,Los Angeles,Garfield Medical Center,COLON,33
2013,Los Angeles,Garfield Medical Center,LUNG,19
2013,Los Angeles,Garfield Medical Center,BLADDER,1
2013,Los Angeles,Garfield Medical Center,PROSTATE,7
2013,Los Angeles,Glendale Adventist Medical Center,PROSTATE,19
2013,Los Angeles,Glendale Adventist Medical Center,STOMACH,4
2013,Los Angeles,Glendale Adventist Medical Center,RECTUM,8
2013,Los Angeles,Glendale Adventist Medical Center,PANCREAS,3
2013,Los Angeles,Glendale Adventist Medical Center,LUNG,4
2013,Los Angeles,Glendale Adventist Medical Center,LIVER,1
2013,Los Angeles,Glendale Adventist Medical Center,BREAST,77
2013,Los Angeles,Glendale Adventist Medical Center,COLON,26
2013,Los Angeles,Glendale Adventist Medical Center,ESOPHAGUS,1
2013,Los Angeles,Glendale Adventist Medical Center,BRAIN,11
2013,Los Angeles,Glendale Adventist Medical Center,BLADDER,1
2013,Los Angeles,Glendora Community Hospital,COLON,1
2013,Los Angeles,Glendora Community Hospital,BREAST,1
2013,Los Angeles,Greater El Monte Community Hospital,RECTUM,1
2013,Los Angeles,Greater El Monte Community Hospital,BREAST,3
2013,Los Angeles,Greater El Monte Community Hospital,COLON,1
2013,Los Angeles,Southern California Hospital at Hollywood,BREAST,2
2013,Los Angeles,Hollywood Presbyterian Medical Center,STOMACH,6
2013,Los Angeles,Hollywood Presbyterian Medical Center,RECTUM,6
2013,Los Angeles,Hollywood Presbyterian Medical Center,BREAST,64
2013,Los Angeles,Hollywood Presbyterian Medical Center,LUNG,1
2013,Los Angeles,Hollywood Presbyterian Medical Center,BRAIN,1
2013,Los Angeles,Hollywood Presbyterian Medical Center,COLON,22
2013,Los Angeles,Providence Holy Cross Medical Center,ESOPHAGUS,2
2013,Los Angeles,Providence Holy Cross Medical Center,BREAST,84
2013,Los Angeles,Providence Holy Cross Medical Center,BLADDER,1
2013,Los Angeles,Providence Holy Cross Medical Center,RECTUM,10
2013,Los Angeles,Providence Holy Cross Medical Center,STOMACH,11
2013,Los Angeles,Providence Holy Cross Medical Center,PANCREAS,3
2013,Los Angeles,Providence Holy Cross Medical Center,LUNG,20
